Izotop Praw Energia T1/2[s]
Pb-210 4.25% 46.54 700578720
In-111 90.60% 171.40 250966
Ra-226 3.64% 186.21 50492160000
Te-132 88.00% 228.16 276826
In-111 94.10% 245.40 242326
Pb-214 18.42% 295.22 50492160000
Pb-214 35.60% 351.93 50492160000
I-131 81.50% 364.48 693377
Be-7 10.44% 477.61 4598208
Ru-103 91.00% 497.08 32123520
Tl-208 85.00% 583.19 441806400000000000
Cs-134 97.62% 604.72 65172756
Bi-214 45.49% 609.32 50492160000
Ru-106/Rh-106 9.93% 621.94 32123520
Cs-137 85.10% 661.66 949252608
I-132 98.70% 667.72 8262
Te-129m 3.00% 695.88 2903040
I-132 75.60% 772.60 8262
Cs-134 85.46% 795.84 65172756
Cs-136 99.70% 818.51 1124064
Ac-228 25.80% 911.20 441806400000000000
I-132 17.60% 954.55 8262
Cs-136 80.00% 1048.07 1124064
Bi-214 14.92% 1120.29 50492160000
Na-22 99.94% 1274.00 82106564
K-40 10.66% 1460.83 39383884800000000
Ra-223 0.10% 33.60 687072067
Pa-231 0.16% 38.19 1033826976000
Th-231 0.11% 38.90 21112034400000000
Bi-212 1.06% 39.86 441806400000000000
Th-227 0.22% 43.80 687072067
Pa-231 0.22% 46.35 1033826976000
Pb-210 4.25% 46.54 50492160000
Th-227 0.57% 49.89 687072067
Th-227 8.00% 50.13 687072067
Pb-214 1.11% 53.23 50492160000
Th-227 0.10% 56.55 687072067
Ac-228 0.49% 57.76 441806400000000000
Th-231 0.48% 58.57 21112034400000000
Am-241 35.90% 59.54 13651817760
Th-227 0.11% 62.45 687072067
Th-234 4.80% 63.29 140999356800000000
Th-232 0.27% 63.81 441806400000000000
Th-230 0.38% 67.67 2366820000000
Bi-211 0.75% 70.83 687072067
U-235 0.11% 72.70 21112034400000000
Th-231 0.21% 72.75 21112034400000000
Tl-208 2.02% 72.80 441806400000000000
Bi-211 1.27% 72.87 687072067
Pb-214 5.90% 74.81 50492160000
